STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
74486094789,01/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",39.1,23,25.3,23,1014.3,23,14.5,18,11.8,23,11.4,23,18.1,21,46.9, ,35.1, ,0.04,G,999.9,110000
74486094789,02/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",35.4,24,21.4,24,1024.3,24,23.5,24,13,24,7.5,24,10.1,999.9,44.1,*,28, ,0,D,999.9,0
74486094789,03/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",42.8,24,31.1,24,1013.8,24,13.1,24,7.4,24,5.9,24,13,18.1,51.1,*,36, ,0,H,999.9,110000
74486094789,04/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",36.1,24,22.9,24,1017.4,24,16.7,24,13.1,24,11.8,24,22,32.1,51.1, ,28.9, ,0.47,G,999.9,0
74486094789,05/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",39.6,24,31.5,24,1007.8,24,7,24,9.9,24,10.9,24,20,35.9,45, ,32, ,0.28,G,999.9,110000
74486094789,06/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",33.9,24,16.6,24,1010,24,9.2,24,20.3,24,18.3,24,25.1,32.1,48, ,30.9, ,0,G,999.9,0
74486094789,07/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",25.7,24,2.7,24,1022.9,24,22.1,24,20.9,24,13.3,24,20,22,39.9, ,21, ,0,D,999.9,0
74486094789,08/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",20.9,24,1.3,24,1032.5,24,31.7,24,22,24,15.1,24,20,28,28.9, ,16, ,0,D,999.9,0
74486094789,09/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",27.3,24,7.9,24,1029.2,24,28.3,24,17.9,24,14.6,24,21,27,37.9,*,21, ,0,C,999.9,0
74486094789,10/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",37.4,24,18.1,24,1015.5,24,14.7,24,13.5,24,13.6,24,20,26,46.9,*,32, ,0,D,999.9,0
74486094789,11/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",34.7,24,16.5,24,1018.8,24,18,24,18.1,24,9.8,24,15,19,46.9, ,28, ,0,D,999.9,0
74486094789,12/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",37,24,26.4,24,1013.6,24,12.8,24,16.1,24,10.9,24,15,21,45,*,30.9, ,0,D,999.9,0
74486094789,13/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",38.7,24,27.3,24,1004.2,24,3.5,24,13.2,24,8.5,24,17.1,22,46.9,*,30.9, ,0,D,999.9,1000
74486094789,14/01/1986,40.63915,-73.76401,3.4,"JFK INTERNATIONAL AIRPORT, NY US",20.1,24,0.6,24,1011.2,24,10.4,24,16.2,24,14.9,24,22,29.9,48, ,15.1, ,0,D,999.9,1000
